ProjectID,ClientID,BusinessUnitID,ProjectName,ProjectType,Fixed_Price_Amount,PlannedStartDate,PlannedEndDate,PlannedExpense,ProjectStatus,created_at
91,17,4,Integrated optimizing moratorium,Fixed-Price,113385.66,,,,In Progress,2021-12-14 07:47:51.145328
92,3,1,User-centric zero tolerance hierarchy,Fixed-Price,66447.35,,,,In Progress,2021-12-20 03:31:00.417644
93,5,2,Ergonomic user-facing archive,Time & Materials,217989.19,,,,In Progress,2022-01-08 07:26:33.193865
94,14,5,Fundamental methodical definition,Time & Materials,127255.68,,,,In Progress,2022-01-17 18:46:08.893741
95,13,5,Compatible attitude-oriented encryption,Fixed-Price,124827.52,,,,In Progress,2022-01-27 07:38:24.708462
96,4,5,Progressive human-resource intranet,Time & Materials,409737.15,,,,In Progress,2022-03-08 12:06:30.030841
97,6,4,Customer-focused eco-centric capacity,Fixed-Price,265944.03,,,,In Progress,2022-04-13 02:21:05.371527
98,6,5,Grass-roots discrete product,Fixed-Price,421617.54,,,,In Progress,2022-05-12 17:22:30.668099
99,4,3,Triple-buffered 24/7 conglomeration,Fixed-Price,327617.11,,,,In Progress,2022-05-16 20:42:33.116090
100,17,1,Networked cloud-native function,Fixed-Price,266228.13,,,,In Progress,2022-09-13 01:23:12.825079
101,20,3,Enhanced sustainable help-desk,Time & Materials,86051.68,,,,In Progress,2022-09-16 09:12:05.228778
102,8,1,AI-driven neutral matrices,Fixed-Price,440722.63,,,,In Progress,2022-11-22 22:40:39.655069
103,3,1,Sharable sustainable migration,Fixed-Price,486235.55,,,,In Progress,2022-12-31 21:53:16.176165
104,16,1,Synchronised global challenge,Fixed-Price,126391.06,,,,In Progress,2023-01-09 20:52:10.778224
105,18,2,Configurable methodical functionalities,Time & Materials,486460.42,,,,In Progress,2023-01-31 20:59:18.489578
106,16,5,Horizontal value-added product,Time & Materials,63674.18,,,,In Progress,2023-02-03 19:59:06.262104
107,10,4,Automated bottom-line installation,Time & Materials,190088.46,,,,In Progress,2023-04-25 00:28:37.337024
108,12,4,Fundamental empowering portal,Time & Materials,361596.27,,,,In Progress,2023-05-23 07:03:05.997418
109,11,1,Reduced uniform forecast,Time & Materials,229398.36,,,,In Progress,2023-10-12 11:24:36.603402
110,19,5,Profound full-range success,Time & Materials,247780.26,,,,In Progress,2023-10-17 05:21:31.995232
111,8,5,Advanced fresh-thinking array,Fixed-Price,186473.82,,,,In Progress,2023-10-20 13:45:52.300783
112,8,1,Focused cloud-native firmware,Time & Materials,287168.66,,,,In Progress,2023-10-23 18:27:40.444388
113,3,1,Persevering logistical data-warehouse,Fixed-Price,58636.52,,,,In Progress,2023-11-09 10:15:23.294521
114,2,3,Total secondary generative AI,Fixed-Price,219149.73,,,,In Progress,2023-11-18 10:52:13.503346
115,9,4,Customizable immersive contingency,Time & Materials,280499.86,,,,In Progress,2023-12-03 12:04:00.215437
116,8,4,Triple-buffered empowering concept,Fixed-Price,217475.16,,,,In Progress,2024-01-06 16:58:19.546009
117,4,1,Robust eco-centric alliance,Time & Materials,493101.38,,,,In Progress,2024-01-23 16:19:33.381664
118,4,1,Reduced 24/7 local area network,Fixed-Price,256235.29,,,,In Progress,2024-04-15 19:18:05.395380
119,11,1,Business-focused holistic adapter,Fixed-Price,124117.86,,,,In Progress,2024-05-05 16:39:38.332711
120,8,2,Expanded composite synergy,Fixed-Price,461790.53,,,,In Progress,2024-05-17 17:14:08.331054
121,15,2,Future-proofed resilient budgetary management,Time & Materials,134335.37,,,,In Progress,2024-06-09 13:30:24.805738
122,15,5,Reduced executive capacity,Time & Materials,175674.24,,,,In Progress,2024-08-07 03:47:36.615596
123,18,1,Profit-focused intermediate middleware,Time & Materials,78638.41,,,,In Progress,2024-09-07 01:10:09.901605
124,8,2,Front-line impactful solution,Fixed-Price,98611.59,,,,In Progress,2024-10-30 10:49:09.149619
125,14,4,Managed optimal customer loyalty,Fixed-Price,336380.62,,,,In Progress,2024-11-11 20:44:54.497325
126,16,2,Horizontal neutral monitoring,Fixed-Price,86081.01,,,,In Progress,2024-11-13 10:32:26.367632
127,2,2,Public-key contextually-based definition,Fixed-Price,290285.36,,,,In Progress,2024-11-26 14:00:32.304837
128,13,1,Reactive content-based middleware,Time & Materials,343531.24,,,,In Progress,2024-12-01 04:23:34.443295
